[04-Jun-2023 16:17:51] | 200 | 106.6246ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:17:52] | 200 | 108.4946ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:17:58] | 200 | 119.207ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:18:00] | 200 | 103.163ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:18:04] | 200 | 118.5728ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:18:05] | 200 | 106.327ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:24:41] | 200 | 193.2957ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:24:42] | 200 | 105.5492ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:24:43] | 200 | 116.2524ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:24:56] | 200 | 170.2545ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:24:58] | 200 | 108.8852ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:25:22] | 200 | 168.5147ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:25:24] | 200 | 108.2304ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:25:35] | 200 | 111.4042ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:25:36] | 200 | 111.2716ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:25:38] | 200 | 109.8375ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:25:40] | 200 | 105.952ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:25:42] | 200 | 68.3916ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:25:57] | 200 | 117.0064ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 16:25:58] | 200 | 113.0812ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 13:59:02] | 404 | 506.9µs | 127.0.0.1 | GET | /playground | Cannot GET /playground
[05-Jun-2023 13:59:05] | 200 | 1.0017ms | 127.0.0.1 | GET | / | -
[05-Jun-2023 13:59:06] | 200 | 3.2706ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 13:59:06] | 404 |      0s | 127.0.0.1 | GET | /favicon.ico | Cannot GET /favicon.ico
[05-Jun-2023 13:59:24] | 422 |      0s | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:00:03] | 200 |      0s | 127.0.0.1 | GET | / | -
[05-Jun-2023 14:00:03] | 200 | 2.0006ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:00:52] | 200 | 447.0675ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:00:54] | 200 | 124.9508ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:00:58] | 200 | 104.2236ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:01:02] | 200 | 102.6229ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:01:03] | 200 | 108.2274ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:02:08] | 200 | 7.6399ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:03:13] | 200 | 224.3664ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:03:48] | 422 |      0s | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:04:34] | 200 | 76.6172ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:04:35] | 422 | 1.0008ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:04:47] | 200 | 118.5277ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:10:19] | 422 | 506.8µs | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:10:48] | 200 | 117.4503ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:13:13] | 200 | 193.187ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:15:58] | 200 | 201.038ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:18:39] | 200 | 219.3523ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:39:35] | 200 | 204.1622ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:40:00] | 200 | 210.8782ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:40:32] | 200 | 122.5376ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:40:37] | 200 | 105.0625ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:40:39] | 200 | 108.1817ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:40:41] | 200 | 103.2234ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:41:03] | 200 | 61.7699ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:41:19] | 200 | 113.6292ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:41:54] | 200 | 81.5483ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:42:14] | 200 | 78.6728ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:42:44] | 200 | 77.5848ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:44:57] | 200 | 217.5986ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:45:05] | 200 | 133.5466ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:45:08] | 200 | 103.4728ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:45:13] | 200 | 135.836ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:45:17] | 200 | 124.0095ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:45:27] | 200 | 131.025ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:47:20] | 200 | 196.0817ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:47:43] | 200 | 131.5472ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:48:13] | 200 | 134.9311ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:48:28] | 200 | 200.3168ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:48:54] | 200 | 141.5146ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 14:48:59] | 200 | 126.0252ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:03:26] | 200 | 196.3617ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:07:12] | 200 | 181.7442ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:07:13] | 200 | 104.2313ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:09:32] | 200 | 53.8413ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:14:28] | 200 | 55.2466ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:16:25] | 200 | 60.1131ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:16:51] | 200 | 54.3034ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:18:28] | 200 | 257.6524ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:21:37] | 200 | 234.7051ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:22:36] | 200 | 225.5427ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 15:22:56] | 200 | 103.8907ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 16:20:06] | 200 | 170.5982ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 16:20:07] | 200 | 116.5656ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 16:20:09] | 200 | 108.8924ms | 127.0.0.1 | POST | /query | -
[05-Jun-2023 16:20:12] | 200 | 116.9958ms | 127.0.0.1 | POST | /query | -
